period_start,review_count,high_score_ratio,average_rating
2022-06-20,2384,0.4152684563758389,2.9932885906040267
2022-06-27,2416,0.40355960264900664,2.9991721854304636
2022-07-04,2588,0.4223338485316847,3.0401854714064913
2022-07-11,2637,0.4243458475540387,3.0640879787637467
2022-07-18,2877,0.3924226624956552,2.9641988182134167
2022-07-25,2704,0.3890532544378698,2.9304733727810652
2022-08-01,2643,0.3927355278093076,2.9568671963677637
2022-08-08,2594,0.37316885119506554,2.894371626831149
2022-08-15,2505,0.40199600798403196,2.992015968063872
2022-08-22,2699,0.39644312708410523,2.9388662467580584
2022-08-29,2656,0.41039156626506024,2.992093373493976
2022-09-05,2647,0.3966754816773706,2.953532300717794
2022-09-12,2483,0.38260169150221507,2.864277084172372
2022-09-19,2303,0.37038645245332175,2.858011289622232
2022-09-26,2358,0.3927056827820187,2.9279050042408823
2022-10-03,2307,0.40182054616384916,2.9583875162548763
2022-10-10,2272,0.37764084507042256,2.8882042253521125
2022-10-17,2377,0.38199411022297014,2.8843079511989904
2022-10-24,2392,0.39464882943143814,2.9297658862876252
2022-10-31,2444,0.4157119476268412,2.988134206219313
2022-11-07,2397,0.38881935753024616,2.9157279933249898
2022-11-14,2185,0.40503432494279173,2.9524027459954234
2022-11-21,2146,0.3765144454799627,2.895153774464119
2022-11-28,2584,0.41756965944272445,3.018188854489164
2022-12-05,2321,0.3735458853942266,2.81042654028436
2022-12-12,2162,0.3677150786308973,2.8654024051803884
2022-12-19,2085,0.4062350119904077,2.980335731414868
2022-12-26,2264,0.3953180212014134,2.9306537102473498
2023-01-02,3272,0.41014669926650366,2.9578239608801957
2023-01-09,2813,0.4081052257376466,2.9768929968005686
2023-01-16,2939,0.42837699897924464,3.044572984008166
2023-01-23,2340,0.3923076923076923,2.936324786324786
2023-01-30,2319,0.40146614920224233,2.9667960327727467
2023-02-06,2442,0.4099099099099099,2.98034398034398
2023-02-13,2407,0.39675945159950143,2.9210635646032403
2023-02-20,2296,0.42160278745644597,2.9978222996515678
2023-02-27,2222,0.41899189918991897,3.0175517551755178
2023-03-06,2247,0.3818424566088118,2.8940809968847354
2023-03-13,2609,0.4128018397853584,2.9973169796857033
2023-03-20,2507,0.38851216593538096,2.942161946549661
2023-03-27,2431,0.38749485808309336,2.9411764705882355
2023-04-03,2177,0.39917317409278824,2.975654570509876
2023-04-10,2310,0.383982683982684,2.898701298701299
2023-04-17,2369,0.4022794428028704,2.960320810468552
2023-04-24,2335,0.3665952890792291,2.7978586723768735
2023-05-01,2060,0.3703883495145631,2.8558252427184465
2023-05-08,1928,0.3682572614107884,2.8812240663900415
2023-05-15,1948,0.3470225872689938,2.794147843942505
2023-05-22,2094,0.3720152817574021,2.8772683858643746
2023-05-29,2115,0.39621749408983453,2.9286052009456265
2023-06-05,1980,0.3904040404040404,2.9282828282828284
2023-06-12,2079,0.3992303992303992,2.9398749398749398
2023-06-19,2071,0.39980685659101883,2.9150169000482857
2023-06-26,2300,0.39043478260869563,2.9565217391304346
2023-07-03,2251,0.4051532652154598,2.956019546868059
2023-07-10,2284,0.39098073555166374,2.9229422066549913
2023-07-17,2402,0.4063280599500416,2.975437135720233
2023-07-24,2263,0.39195757843570483,2.9315068493150687
2023-07-31,2251,0.38605064415815193,2.9182585517547754
2023-08-07,2276,0.37653778558875217,2.8651142355008785
2023-08-14,2206,0.3839528558476881,2.9397098821396193
2023-08-21,2270,0.4145374449339207,2.973568281938326
2023-08-28,2126,0.3852304797742239,2.880526810912512
2023-09-04,2246,0.3846838824577026,2.8820124666073017
2023-09-11,2283,0.395970214629873,2.900131406044678
2023-09-18,2267,0.3762681958535509,2.8857520952801057
